,src,nei,d,d_est,d_err_absolute,d_err_relative
12658,DB:27,D1:B6,6.462197768561405,6.4596023,0.0025954685614051343,0.00040163867686502725
12659,DB:27,D1:B6,6.462197768561405,6.4860091,0.02381133143859504,0.0036847110366131437
12660,DB:27,D1:B6,6.462197768561405,6.4573846,0.004813168561405234,0.0007448191364277493
12661,DB:27,D1:B6,6.462197768561405,6.4998297,0.03763193143859489,0.0058233951956212565
12662,DB:27,D1:B6,6.462197768561405,6.5010509,0.0388531314385947,0.006012371151439407
12663,DB:27,D1:B6,6.462197768561405,6.4172029,0.044994868561405,0.00696278111145175
12664,DB:27,D1:B6,6.462197768561405,6.4575333,0.004664468561405677,0.0007218083891053781
12665,DB:27,D1:B6,6.462197768561405,6.4566211,0.005576668561405818,0.0008629677953429888
12666,DB:27,D1:B6,6.462197768561405,6.4948244,0.032626631438594345,0.005048844465473173
12667,DB:27,D1:B6,6.462197768561405,6.4945955,0.03239773143859459,0.005013423079715939
12668,DB:27,D1:B6,6.462197768561405,6.4829998,0.020802031438594604,0.0032190335522995746
12669,DB:27,D1:B6,6.462197768561405,6.4648356,0.002637831438594418,0.00040819416753654135
12670,DB:27,D1:B6,6.462197768561405,6.4622617,6.393143859462214e-05,9.893141758311485e-06
12671,DB:27,D1:B6,6.462197768561405,6.4730191,0.010821331438594761,0.0016745590008465142
12672,DB:27,D1:B6,6.462197768561405,6.4803385,0.018140731438594848,0.0028072077160574554
12673,DB:27,D1:B6,6.462197768561405,6.4898038,0.027606031438594414,0.004271926119763429
12674,DB:27,D1:B6,6.462197768561405,6.5029626,0.04076483143859466,0.006308199299766959
12675,DB:27,D1:B6,6.462197768561405,6.4343223,0.027875468561405548,0.004313620467794983
12676,DB:27,48:27,8.31674215062605,8.4434547,0.12671254937395027,0.015235839596687733
12677,DB:27,48:27,8.31674215062605,8.4180669,0.10132474937394953,0.01218322602033805
12678,DB:27,48:27,8.31674215062605,8.4418125,0.12507034937394934,0.01503838247101776
12679,DB:27,48:27,8.31674215062605,8.4340019,0.11725974937395023,0.014099240694281161
12680,DB:27,48:27,8.31674215062605,8.4236145,0.1068723493739494,0.012850266058315215
12681,DB:27,48:27,8.31674215062605,8.4338817,0.11713954937395066,0.014084787919646262
12682,DB:27,48:27,8.31674215062605,8.435811,0.11906884937394935,0.014316765774082143
12683,DB:27,48:27,8.31674215062605,8.4173183,0.10057614937394987,0.012093214813252196
12684,DB:27,48:27,8.31674215062605,8.428092,0.11134984937394954,0.013388637925436654
12685,DB:27,48:27,8.31674215062605,8.4290695,0.11232734937395072,0.013506171928811714
12686,DB:27,48:27,8.31674215062605,8.4272995,0.11055734937395023,0.013293348209145564
12687,DB:27,48:27,8.31674215062605,8.4064865,0.08974434937394982,0.010790805792529497
12688,DB:27,48:27,8.31674215062605,8.4064026,0.0896604493739499,0.010780717707738556
12689,DB:27,48:27,8.31674215062605,8.4632787,0.1465365493739501,0.017619465256947933
12690,DB:27,48:27,8.31674215062605,8.4111957,0.09445354937395045,0.011357037126231017
12691,DB:27,48:27,8.31674215062605,8.4564924,0.1397502493739502,0.01680348468702139
12692,DB:27,48:27,8.31674215062605,8.441102,0.12435984937395084,0.0149529523846774
12693,DB:27,48:27,8.31674215062605,8.4142885,0.09754634937394968,0.011728913510515268
12694,DB:27,48:27,8.31674215062605,8.4455709,0.12882874937394995,0.015490290193047797
12695,DB:27,48:27,8.31674215062605,8.4308529,0.11411074937394972,0.013720606856298886
12696,DB:27,48:27,8.31674215062605,8.4171981,0.1004559493739503,0.012078762038617297
12697,DB:27,48:27,8.31674215062605,8.4458198,0.12907764937395072,0.015520217777129749
12698,DB:27,48:27,8.31674215062605,8.4449424,0.12820024937395047,0.015414719736657952
12699,DB:27,48:27,8.31674215062605,8.43258,0.11583784937394981,0.013928272306149351
12700,DB:27,48:27,8.31674215062605,8.418149,0.10140684937394973,0.01219309767422767
12701,DB:27,48:27,8.31674215062605,8.4182767,0.1015345493739499,0.012208452244284957
12702,DB:27,48:27,8.31674215062605,8.4381761,0.1214339493739498,0.014601143954524158
12703,DB:27,48:27,8.31674215062605,8.4620237,0.14528154937394966,0.017468564822947345
12704,DB:27,48:27,8.31674215062605,8.4037714,0.08702924937395018,0.01046434382571293
12705,DB:27,48:27,8.31674215062605,8.4332819,0.11653974937395084,0.014012668333739096
12706,DB:27,48:27,8.31674215062605,8.4033937,0.08665154937395059,0.010418929408245249
12707,DB:27,48:27,8.31674215062605,8.3992653,0.08252314937394978,0.0099225331120477
12708,DB:27,48:27,8.31674215062605,8.4442034,0.12746124937394931,0.01532586282771248
12709,DB:27,48:27,8.31674215062605,8.4227371,0.10599494937395093,0.01274476801784363
12710,DB:27,48:27,8.31674215062605,8.4143543,0.09761214937394946,0.011736825262353676
12711,DB:27,48:27,8.31674215062605,8.4519596,0.13521744937395042,0.0162584635816528
12712,DB:27,48:27,8.31674215062605,8.4273252,0.11058304937395036,0.013296438361459375
12713,DB:27,48:27,8.31674215062605,8.422553,0.10581084937395069,0.012722631946210535
12714,DB:27,48:27,8.31674215062605,8.4372883,0.12054614937395058,0.01449439542440021
12715,DB:27,48:27,8.31674215062605,8.4535398,0.13679764937394978,0.01644846586516479
12716,DB:27,48:27,8.31674215062605,8.4311857,0.1144435493739504,0.01376062252517178
12717,DB:27,48:27,8.31674215062605,8.4409628,0.1242206493739495,0.014936215061639092
12718,DB:27,48:27,8.31674215062605,8.41753,0.10078784937394936,0.012118669492039316
12719,DB:27,48:27,8.31674215062605,8.4309091,0.11416694937394922,0.013727364309996699
12720,DB:27,48:27,8.31674215062605,8.4038915,0.08714934937395036,0.01047878457640894
12721,DB:27,48:27,8.31674215062605,8.4457559,0.12901374937395005,0.015512534480131554
12722,DB:27,48:27,8.31674215062605,8.4261627,0.10942054937395085,0.013156660071000774
12723,DB:27,48:27,8.31674215062605,8.4288397,0.11209754937394933,0.013478540917071848
12724,DB:27,48:27,8.31674215062605,8.4391994,0.12245724937394975,0.014724184921944668
12725,DB:27,48:27,8.31674215062605,8.4422273,0.12548514937395083,0.015088257769841382
12726,DB:27,48:27,8.31674215062605,8.4189329,0.10219074937394979,0.012287353331767932
12727,DB:27,48:27,8.31674215062605,8.4095993,0.09285714937395007,0.011165086964606708
12728,DB:27,48:27,8.31674215062605,8.4256639,0.10892174937395005,0.013096684663447317
12729,DB:27,48:27,8.31674215062605,8.4285736,0.11183144937395006,0.013446545215488237
12730,DB:27,48:27,8.31674215062605,8.448452,0.1317098493739497,0.015836711898544926
12731,DB:27,48:27,8.31674215062605,8.4452562,0.1285140493739494,0.015452450857127438
12732,DB:27,48:27,8.31674215062605,8.4206238,0.10388164937394961,0.01249066611571333
12733,DB:27,48:27,8.31674215062605,8.4429302,0.12618804937394934,0.015172774036820467
12734,DB:27,48:27,8.31674215062605,8.4267263,0.1099841493739504,0.013224426991002871
12735,DB:27,48:27,8.31674215062605,8.4323482,0.11560604937394992,0.013900400815630381
12736,DB:27,48:27,8.31674215062605,8.404972,0.08822984937395084,0.010608703236917027
12737,DB:27,48:27,8.31674215062605,8.4314356,0.11469344937395043,0.013790670348643282
12738,DB:27,48:27,8.31674215062605,8.4426622,0.12592004937394918,0.015140549880396429
12739,DB:27,48:27,8.31674215062605,8.4001979,0.08345574937395028,0.01003466836682776
12740,DB:27,48:27,8.31674215062605,8.4157209,0.09897874937395024,0.011901144412238334
12741,DB:27,48:27,8.31674215062605,8.4226541,0.10591194937395088,0.012734788148503349
12742,DB:27,48:27,8.31674215062605,8.4350643,0.11832214937395058,0.014226983021836715
12743,DB:27,48:27,8.31674215062605,8.45051,0.1337678493739496,0.01608416456242786
12744,DB:27,48:27,8.31674215062605,8.4473705,0.13062834937394996,0.015706672998647288
12745,DB:27,48:27,8.31674215062605,8.4311867,0.11444454937394966,0.01376074276456133
12746,DB:27,48:27,8.31674215062605,8.4264765,0.10973434937394977,0.01319439119147026
12747,DB:27,48:27,8.31674215062605,8.4017686,0.08502644937395054,0.010223528376138259
12748,DB:27,48:27,8.31674215062605,8.4157858,0.09904364937395016,0.011908947948626082
12749,DB:27,48:27,8.31674215062605,8.4103012,0.09355904937394932,0.01124948299219624
12750,DB:27,48:27,8.31674215062605,8.4222021,0.10545994937394987,0.012680439944385108
12751,DB:27,48:27,8.31674215062605,8.4287195,0.11197734937394976,0.013464088142436948
12752,DB:27,48:27,8.31674215062605,8.415018,0.09827584937394995,0.011816628145259037
12753,DB:27,48:27,8.31674215062605,8.4492187,0.13247654937394948,0.015928899438583315
12754,DB:27,48:27,8.31674215062605,8.4207239,0.10398174937395055,0.012502702078616593
12755,DB:27,48:27,8.31674215062605,8.4295244,0.1127822493739501,0.013560868827159721
12756,DB:27,48:27,8.31674215062605,8.4232359,0.10649374937394995,0.012804743425396873
12757,DB:27,48:27,8.31674215062605,8.43402,0.11727784937395036,0.014101417027233694
12758,DB:27,48:27,8.31674215062605,8.4165067,0.09976454937394941,0.011995628524618806
12759,DB:27,48:27,8.31674215062605,8.4354229,0.11868074937395079,0.01427010086696231
12760,DB:27,48:27,8.31674215062605,8.4244814,0.10773924937394952,0.012954501585195755
12761,DB:27,48:27,8.31674215062605,8.4277792,0.11103704937394987,0.013351027044356721
12762,DB:27,48:27,8.31674215062605,8.3981676,0.0814254493739508,0.009790546334037954
12763,DB:27,48:27,8.31674215062605,8.4162387,0.09949654937394925,0.01196340436819477
12764,DB:27,48:27,8.31674215062605,8.4117784,0.09503624937394939,0.011427100618575202
12765,DB:27,48:27,8.31674215062605,8.4317207,0.11497854937394969,0.013824950598630087
12766,DB:27,48:27,8.31674215062605,8.4504194,0.13367724937394954,0.016073270873726304
12767,DB:27,48:27,8.31674215062605,8.4506569,0.13391474937395031,0.016101827728766338
12768,DB:27,48:27,8.31674215062605,8.4214067,0.10466454937395042,0.01258480153386404
12769,DB:27,48:27,8.31674215062605,8.4396906,0.12294844937395055,0.014783246510136846
12770,DB:27,48:27,8.31674215062605,8.4160528,0.09931064937394929,0.011941051865660354
12771,DB:27,48:27,8.31674215062605,8.4281769,0.11143474937395048,0.013398846249617362
12772,DB:27,48:27,8.31674215062605,8.4001531,0.08341094937395077,0.010029281642171862
12773,DB:27,48:27,8.31674215062605,8.4508352,0.13409304937395028,0.016123266411939476
12774,DB:27,48:27,8.31674215062605,8.4329681,0.11622594937395014,0.013974937213269397
12775,DB:27,DC:19,8.546589963254352,8.5153522,0.031237763254351236,0.003654997301690672
12776,DB:27,DC:19,8.546589963254352,8.5448427,0.0017472632543515942,0.00020443981305571786
12777,DB:27,DC:19,8.546589963254352,8.5511112,0.004521236745647528,0.0005290106071645376
12778,DB:27,DC:19,8.546589963254352,8.5138111,0.032778863254351975,0.0038353148326154764
12779,DB:27,DC:19,8.546589963254352,8.4941997,0.052390263254352476,0.006129961011304142
12780,DB:27,DC:19,8.546589963254352,8.498105,0.04848496325435114,0.005673018532866311
12781,DB:27,DC:19,8.546589963254352,8.5157222,0.030867763254351033,0.003611705181489399
12782,DB:27,DC:19,8.546589963254352,8.5088529,0.037737063254351,0.004415452644458161
12783,DB:27,DC:19,8.546589963254352,8.5304203,0.01616966325435243,0.0018919432573544666
12784,DB:27,DC:19,8.546589963254352,8.5118437,0.03474626325435182,0.0040655119063558315
12785,DB:27,DC:19,8.546589963254352,8.5208091,0.025780863254352582,0.0030165087321605633
12786,DB:27,DC:19,8.546589963254352,8.5555715,0.00898153674564739,0.0010508912659040704
12787,DB:27,DC:19,8.546589963254352,8.5114288,0.0351611632543527,0.004114057583846471
12788,DB:27,DC:19,8.546589963254352,8.4842376,0.06235236325435167,0.00729558379686315
12789,DB:27,DC:19,8.546589963254352,8.5022783,0.04431166325435143,0.0051847185187153325
12790,DB:27,DC:19,8.546589963254352,8.5245027,0.022087263254352507,0.0025843363668218112
12791,DB:27,DC:19,8.546589963254352,8.5281133,0.018476663254352488,0.002161875477095778
12792,DB:27,DC:19,8.546589963254352,8.5306244,0.015965563254351167,0.0018680623878054674
12793,DB:27,DC:19,8.546589963254352,8.4964609,0.05012906325435118,0.005865387654009219
12794,DB:27,DC:19,8.546589963254352,8.4871635,0.05942646325435241,0.006953236730655571
12795,DB:27,DC:19,8.546589963254352,8.477745,0.0688449632543513,0.00805525520123779
12796,DB:27,DC:19,8.546589963254352,8.5335769,0.01301306325435192,0.0015226029691726118
12797,DB:27,DC:19,8.546589963254352,8.511363,0.035226963254352484,0.004121756560898452
12798,DB:27,DC:19,8.546589963254352,8.5106802,0.035909763254352356,0.004201648073529283
12799,DB:27,DC:19,8.546589963254352,8.4909029,0.0556870632543518,0.006515705502870223
12800,DB:27,DC:19,8.546589963254352,8.51406,0.0325299632543512,0.0038061921063502753
12801,DB:27,DC:19,8.546589963254352,8.5571871,0.010597136745648328,0.001239925723734285
12802,DB:27,DC:19,8.546589963254352,8.5431432,0.0034467632543524473,0.0004032910516558813
12803,DB:27,DC:19,8.546589963254352,8.5254802,0.02110976325435132,0.002469963265479182
12804,DB:27,DC:19,8.546589963254352,8.5062847,0.040305263254351686,0.004715946760947022
12805,DB:27,DC:19,8.546589963254352,8.5045585,0.04203146325435192,0.004917922052545419
12806,DB:27,DC:19,8.546589963254352,8.5287962,0.017793763254351447,0.002081972263891782
12807,DB:27,DC:19,8.546589963254352,8.5115862,0.03500376325435184,0.004095640881901299
12808,DB:27,DC:19,8.546589963254352,8.5119905,0.03459946325435226,0.0040483354651517115
12809,DB:27,DC:19,8.546589963254352,8.4990368,0.047553163254351105,0.005563992593397322
12810,DB:27,DC:19,8.546589963254352,8.526164,0.020425963254352197,0.0023899547471181643
